direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-02T09:37:00,4037.0,2024-01-02T10:31:00,4047.0,1.0,-10.0,-0.24770869457517958,BEAR_BREAKOUT,趋势反转
SHORT,2024-01-02T14:52:00,4042.0,2024-01-02T21:25:00,4062.0,1.0,-20.0,-0.49480455220188024,BEAR_BREAKOUT,止损
SHORT,2024-01-02T22:20:00,4055.0,2024-01-03T09:53:00,4072.0,1.0,-17.0,-0.41923551171393336,BEAR_BREAKOUT,止损
SHORT,2024-01-03T10:37:00,4057.0,2024-01-03T11:21:00,4051.0,1.0,6.0,0.1478925314271629,BEAR_BREAKOUT,移动止损
SHORT,2024-01-03T13:38:00,4052.0,2024-01-03T21:56:00,4046.0,1.0,6.0,0.14807502467917077,BEAR_BREAKOUT,移动止损
SHORT,2024-01-04T09:31:00,4054.0,2024-01-04T11:05:00,4038.0,1.0,16.0,0.39467192895905284,BEAR_BREAKOUT,移动止损
SHORT,2024-01-04T11:14:00,4029.0,2024-01-04T14:01:00,4048.0,1.0,-19.0,-0.47158103747828245,BEAR_BREAKOUT,止损
SHORT,2024-01-04T14:30:00,4050.0,2024-01-04T21:56:00,4041.0,1.0,9.0,0.2222222222222222,BEAR_BREAKOUT,移动止损
SHORT,2024-01-04T22:05:00,4037.0,2024-01-04T22:34:00,4027.0,1.0,10.0,0.24770869457517958,BEAR_BREAKOUT,移动止损
SHORT,2024-01-05T09:11:00,4032.0,2024-01-05T09:35:00,4019.0,1.0,13.0,0.3224206349206349,BEAR_BREAKOUT,移动止损
SHORT,2024-01-05T09:51:00,4016.0,2024-01-05T10:39:00,4004.0,1.0,12.0,0.29880478087649404,BEAR_BREAKOUT,移动止损
SHORT,2024-01-05T14:19:00,3993.0,2024-01-05T14:50:00,3987.0,1.0,6.0,0.15026296018031557,BEAR_BREAKOUT,移动止损
SHORT,2024-01-05T14:55:00,3982.0,2024-01-05T15:00:00,3979.0,1.0,3.0,0.07533902561526871,BEAR_BREAKOUT,移动止损
SHORT,2024-01-05T21:17:00,3965.0,2024-01-05T22:12:00,3983.0,1.0,-18.0,-0.45397225725094575,BEAR_BREAKOUT,止损
SHORT,2024-01-08T09:41:00,3962.0,2024-01-08T11:17:00,3958.0,1.0,4.0,0.10095911155981827,BEAR_BREAKOUT,移动止损
SHORT,2024-01-08T11:23:00,3947.0,2024-01-08T13:41:00,3943.0,1.0,4.0,0.10134279199391943,BEAR_BREAKOUT,移动止损
SHORT,2024-01-08T14:29:00,3951.0,2024-01-09T09:01:00,3961.0,1.0,-10.0,-0.2531004808909137,BEAR_BREAKOUT,趋势反转
SHORT,2024-01-09T09:05:00,3956.0,2024-01-09T09:25:00,3953.0,1.0,3.0,0.07583417593528817,BEAR_BREAKOUT,移动止损
SHORT,2024-01-09T09:40:00,3951.0,2024-01-09T10:31:00,3948.0,1.0,3.0,0.07593014426727411,BEAR_BREAKOUT,移动止损
SHORT,2024-01-09T10:52:00,3943.0,2024-01-09T13:32:00,3950.0,1.0,-7.0,-0.1775297996449404,BEAR_BREAKOUT,趋势反转
SHORT,2024-01-09T13:53:00,3951.0,2024-01-09T14:16:00,3944.0,1.0,7.0,0.1771703366236396,BEAR_BREAKOUT,移动止损
