direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-02T09:37:00,4037.0,2024-01-02T10:15:00,4044.0,1.0,-7.0,-0.1733960862026257,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-02T14:52:00,4042.0,2024-01-02T21:01:00,4051.0,1.0,-9.0,-0.2226620484908461,BEAR_BREAKOUT,动态止损(0.16%)
SHORT,2024-01-02T21:15:00,4043.0,2024-01-02T21:21:00,4050.0,1.0,-7.0,-0.17313875834776157,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-02T22:20:00,4055.0,2024-01-03T09:02:00,4049.0,1.0,6.0,0.14796547472256474,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T09:16:00,4053.0,2024-01-03T09:29:00,4058.0,1.0,-5.0,-0.1233654083395016,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-03T09:56:00,4067.0,2024-01-03T10:15:00,4059.0,1.0,8.0,0.19670518809933613,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T10:37:00,4057.0,2024-01-03T11:10:00,4049.0,1.0,8.0,0.1971900419028839,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T11:11:00,4045.0,2024-01-03T11:21:00,4051.0,1.0,-6.0,-0.14833127317676142,BEAR_BREAKOUT,动态止损(0.14%)
SHORT,2024-01-03T13:38:00,4052.0,2024-01-03T14:11:00,4057.0,1.0,-5.0,-0.12339585389930897,BEAR_BREAKOUT,动态止损(0.09%)
SHORT,2024-01-03T21:01:00,4048.0,2024-01-03T21:46:00,4041.0,1.0,7.0,0.17292490118577075,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T21:48:00,4043.0,2024-01-03T22:00:00,4048.0,1.0,-5.0,-0.12367054167697256,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-04T09:31:00,4054.0,2024-01-04T10:34:00,4042.0,1.0,12.0,0.2960039467192896,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T10:35:00,4042.0,2024-01-04T10:57:00,4032.0,1.0,10.0,0.24740227610094012,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T11:00:00,4033.0,2024-01-04T13:33:00,4042.0,1.0,-9.0,-0.22315893875526904,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-04T14:30:00,4050.0,2024-01-04T21:01:00,4042.0,1.0,8.0,0.19753086419753088,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T21:19:00,4043.0,2024-01-04T22:12:00,4035.0,1.0,8.0,0.19787286668315607,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T22:20:00,4029.0,2024-01-04T22:27:00,4022.0,1.0,7.0,0.1737403822288409,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T09:11:00,4032.0,2024-01-05T09:26:00,4018.0,1.0,14.0,0.3472222222222222,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T09:26:00,4018.0,2024-01-05T09:58:00,4010.0,1.0,8.0,0.1991040318566451,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T10:05:00,4015.0,2024-01-05T10:10:00,4004.0,1.0,11.0,0.273972602739726,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T10:32:00,4000.0,2024-01-05T10:51:00,4008.0,1.0,-8.0,-0.2,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-05T14:19:00,3993.0,2024-01-05T14:40:00,3984.0,1.0,9.0,0.2253944402704733,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T14:55:00,3982.0,2024-01-05T21:13:00,3972.0,1.0,10.0,0.25113008538422904,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T21:17:00,3965.0,2024-01-05T21:27:00,3972.0,1.0,-7.0,-0.17654476670870115,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-05T22:06:00,3977.0,2024-01-05T22:12:00,3983.0,1.0,-6.0,-0.15086748805632386,BEAR_BREAKOUT,动态止损(0.15%)
SHORT,2024-01-08T09:41:00,3962.0,2024-01-08T10:45:00,3969.0,1.0,-7.0,-0.17667844522968199,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-08T11:11:00,3954.0,2024-01-08T11:23:00,3947.0,1.0,7.0,0.1770359129994942,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T11:23:00,3947.0,2024-01-08T13:37:00,3938.0,1.0,9.0,0.2280212819863187,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T14:29:00,3951.0,2024-01-08T14:42:00,3945.0,1.0,6.0,0.15186028853454822,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T21:18:00,3961.0,2024-01-08T21:37:00,3952.0,1.0,9.0,0.22721534965917697,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T21:40:00,3950.0,2024-01-08T22:43:00,3954.0,1.0,-4.0,-0.10126582278481014,BEAR_BREAKOUT,动态止损(0.10%)
SHORT,2024-01-09T09:05:00,3956.0,2024-01-09T09:11:00,3949.0,1.0,7.0,0.1769464105156724,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T09:40:00,3951.0,2024-01-09T09:45:00,3957.0,1.0,-6.0,-0.15186028853454822,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-09T09:55:00,3949.0,2024-01-09T10:06:00,3943.0,1.0,6.0,0.15193719929095975,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T10:52:00,3943.0,2024-01-09T11:02:00,3938.0,1.0,5.0,0.12680699974638598,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T13:53:00,3951.0,2024-01-09T14:04:00,3944.0,1.0,7.0,0.1771703366236396,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T21:04:00,3938.0,2024-01-09T21:08:00,3946.0,1.0,-8.0,-0.20314880650076178,BEAR_BREAKOUT,动态止损(0.20%)
SHORT,2024-01-09T21:25:00,3933.0,2024-01-09T22:25:00,3938.0,1.0,-5.0,-0.12712941774726672,BEAR_BREAKOUT,动态止损(0.10%)
SHORT,2024-01-10T09:02:00,3920.0,2024-01-10T09:32:00,3912.0,1.0,8.0,0.20408163265306123,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T10:55:00,3912.0,2024-01-10T11:15:00,3905.0,1.0,7.0,0.17893660531697342,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T11:17:00,3905.0,2024-01-10T13:41:00,3910.0,1.0,-5.0,-0.12804097311139565,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-10T14:29:00,3901.0,2024-01-10T14:38:00,3906.0,1.0,-5.0,-0.12817226352217378,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-10T22:04:00,3894.0,2024-01-10T22:13:00,3899.0,1.0,-5.0,-0.12840267077555212,BEAR_BREAKOUT,动态止损(0.10%)
SHORT,2024-01-11T09:13:00,3909.0,2024-01-11T11:14:00,3919.0,1.0,-10.0,-0.25581990278843697,BEAR_BREAKOUT,动态止损(0.14%)
SHORT,2024-01-11T21:33:00,3922.0,2024-01-11T21:38:00,3927.0,1.0,-5.0,-0.12748597654258031,BEAR_BREAKOUT,动态止损(0.11%)
SHORT,2024-01-11T21:58:00,3919.0,2024-01-11T22:10:00,3914.0,1.0,5.0,0.12758356723653994,BEAR_BREAKOUT,目标达成
SHORT,2024-01-11T22:43:00,3911.0,2024-01-11T22:50:00,3905.0,1.0,6.0,0.1534134492457172,BEAR_BREAKOUT,目标达成
SHORT,2024-01-11T22:52:00,3901.0,2024-01-11T22:56:00,3910.0,1.0,-9.0,-0.23071007433991286,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-12T10:04:00,3922.0,2024-01-12T10:54:00,3927.0,1.0,-5.0,-0.12748597654258031,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-12T11:08:00,3923.0,2024-01-12T13:31:00,3917.0,1.0,6.0,0.15294417537598778,BEAR_BREAKOUT,目标达成
SHORT,2024-01-12T13:31:00,3917.0,2024-01-12T14:00:00,3909.0,1.0,8.0,0.20423793719683433,BEAR_BREAKOUT,目标达成
SHORT,2024-01-12T15:00:00,3902.0,2024-01-12T21:09:00,3874.0,1.0,28.0,0.7175807278318811,BEAR_BREAKOUT,移动止损(最高0.92%)
SHORT,2024-01-12T21:14:00,3868.0,2024-01-12T21:32:00,3874.0,1.0,-6.0,-0.15511892450879006,BEAR_BREAKOUT,动态止损(0.15%)
SHORT,2024-01-12T21:51:00,3872.0,2024-01-12T22:03:00,3878.0,1.0,-6.0,-0.15495867768595042,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-12T22:59:00,3888.0,2024-01-15T09:01:00,3909.0,1.0,-21.0,-0.5401234567901234,BEAR_BREAKOUT,动态止损(0.28%)
SHORT,2024-01-15T09:12:00,3905.0,2024-01-15T10:54:00,3911.0,1.0,-6.0,-0.15364916773367476,BEAR_BREAKOUT,动态止损(0.14%)
SHORT,2024-01-15T14:00:00,3911.0,2024-01-15T14:11:00,3913.0,1.0,-2.0,-0.051137816415239075,BEAR_BREAKOUT,趋势反转确认
SHORT,2024-01-15T14:28:00,3911.0,2024-01-15T14:47:00,3902.0,1.0,9.0,0.2301201738685758,BEAR_BREAKOUT,目标达成
SHORT,2024-01-15T14:50:00,3904.0,2024-01-15T21:02:00,3887.0,1.0,17.0,0.4354508196721311,BEAR_BREAKOUT,目标达成
SHORT,2024-01-15T21:13:00,3892.0,2024-01-15T21:28:00,3897.0,1.0,-5.0,-0.12846865364850976,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-15T21:38:00,3895.0,2024-01-15T21:52:00,3900.0,1.0,-5.0,-0.12836970474967907,BEAR_BREAKOUT,动态止损(0.11%)
SHORT,2024-01-15T22:02:00,3901.0,2024-01-15T22:43:00,3894.0,1.0,7.0,0.17944116893104334,BEAR_BREAKOUT,目标达成
SHORT,2024-01-16T09:13:00,3889.0,2024-01-16T10:09:00,3897.0,1.0,-8.0,-0.20570840833119053,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-16T13:31:00,3877.0,2024-01-16T13:54:00,3869.0,1.0,8.0,0.20634511220015478,BEAR_BREAKOUT,目标达成
SHORT,2024-01-16T14:11:00,3870.0,2024-01-16T14:15:00,3877.0,1.0,-7.0,-0.1808785529715762,BEAR_BREAKOUT,动态止损(0.14%)
SHORT,2024-01-16T14:39:00,3866.0,2024-01-16T14:42:00,3872.0,1.0,-6.0,-0.1551991722710812,BEAR_BREAKOUT,动态止损(0.15%)
SHORT,2024-01-16T21:32:00,3915.0,2024-01-16T22:07:00,3913.0,1.0,2.0,0.05108556832694764,BEAR_BREAKOUT,趋势反转确认
SHORT,2024-01-17T09:05:00,3908.0,2024-01-17T09:30:00,3914.0,1.0,-6.0,-0.15353121801432956,BEAR_BREAKOUT,动态止损(0.10%)
SHORT,2024-01-17T10:05:00,3900.0,2024-01-17T10:15:00,3893.0,1.0,7.0,0.1794871794871795,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T10:39:00,3890.0,2024-01-17T13:36:00,3880.0,1.0,10.0,0.2570694087403599,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T13:59:00,3883.0,2024-01-17T14:40:00,3871.0,1.0,12.0,0.3090394025238218,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T14:50:00,3865.0,2024-01-17T21:01:00,3854.0,1.0,11.0,0.28460543337645533,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T21:18:00,3850.0,2024-01-17T21:33:00,3855.0,1.0,-5.0,-0.12987012987012986,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-17T21:47:00,3854.0,2024-01-17T22:23:00,3860.0,1.0,-6.0,-0.15568240788790866,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-18T09:29:00,3885.0,2024-01-18T10:06:00,3874.0,1.0,11.0,0.2831402831402831,BEAR_BREAKOUT,目标达成
SHORT,2024-01-18T10:39:00,3868.0,2024-01-18T11:20:00,3876.0,1.0,-8.0,-0.2068252326783868,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-18T13:31:00,3878.0,2024-01-18T13:45:00,3893.0,1.0,-15.0,-0.3867973182052605,BEAR_BREAKOUT,动态止损(0.20%)
