direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-02T09:37:00,4037.0,2024-01-02T10:15:00,4044.0,1.0,-7.0,-0.1733960862026257,BEAR_BREAKOUT,动态止损(0.15%)
SHORT,2024-01-02T14:52:00,4042.0,2024-01-02T21:01:00,4051.0,1.0,-9.0,-0.2226620484908461,BEAR_BREAKOUT,动态止损(0.20%)
SHORT,2024-01-02T22:20:00,4055.0,2024-01-02T22:42:00,4051.0,1.0,4.0,0.09864364981504316,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T09:16:00,4053.0,2024-01-03T09:33:00,4058.0,1.0,-5.0,-0.1233654083395016,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-03T09:56:00,4067.0,2024-01-03T10:15:00,4059.0,1.0,8.0,0.19670518809933613,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T10:37:00,4057.0,2024-01-03T11:09:00,4051.0,1.0,6.0,0.1478925314271629,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T11:11:00,4045.0,2024-01-03T11:27:00,4051.0,1.0,-6.0,-0.14833127317676142,BEAR_BREAKOUT,动态止损(0.15%)
SHORT,2024-01-03T21:01:00,4048.0,2024-01-03T21:46:00,4041.0,1.0,7.0,0.17292490118577075,BEAR_BREAKOUT,目标达成
SHORT,2024-01-03T21:48:00,4043.0,2024-01-03T22:03:00,4049.0,1.0,-6.0,-0.14840465001236705,BEAR_BREAKOUT,动态止损(0.14%)
SHORT,2024-01-04T09:31:00,4054.0,2024-01-04T10:43:00,4044.0,1.0,10.0,0.246669955599408,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T10:46:00,4038.0,2024-01-04T10:58:00,4033.0,1.0,5.0,0.12382367508667656,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T11:00:00,4033.0,2024-01-04T13:33:00,4042.0,1.0,-9.0,-0.22315893875526904,BEAR_BREAKOUT,动态止损(0.22%)
SHORT,2024-01-04T14:30:00,4050.0,2024-01-04T14:58:00,4044.0,1.0,6.0,0.14814814814814814,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T21:19:00,4043.0,2024-01-04T21:33:00,4036.0,1.0,7.0,0.17313875834776157,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T22:05:00,4037.0,2024-01-04T22:19:00,4031.0,1.0,6.0,0.14862521674510776,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T22:20:00,4029.0,2024-01-04T22:28:00,4023.0,1.0,6.0,0.14892032762472077,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T09:11:00,4032.0,2024-01-05T09:24:00,4025.0,1.0,7.0,0.1736111111111111,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T09:26:00,4018.0,2024-01-05T09:59:00,4011.0,1.0,7.0,0.17421602787456447,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T10:05:00,4015.0,2024-01-05T10:13:00,4005.0,1.0,10.0,0.24906600249066002,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T10:32:00,4000.0,2024-01-05T10:52:00,4009.0,1.0,-9.0,-0.22499999999999998,BEAR_BREAKOUT,动态止损(0.22%)
SHORT,2024-01-05T14:19:00,3993.0,2024-01-05T14:29:00,3987.0,1.0,6.0,0.15026296018031557,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T14:31:00,3986.0,2024-01-05T21:03:00,3979.0,1.0,7.0,0.17561465127947817,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T21:17:00,3965.0,2024-01-05T21:31:00,3972.0,1.0,-7.0,-0.17654476670870115,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-05T22:06:00,3977.0,2024-01-05T22:37:00,3969.0,1.0,8.0,0.20115665074176514,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T09:41:00,3962.0,2024-01-08T10:45:00,3969.0,1.0,-7.0,-0.17667844522968199,BEAR_BREAKOUT,动态止损(0.16%)
SHORT,2024-01-08T11:11:00,3954.0,2024-01-08T11:23:00,3947.0,1.0,7.0,0.1770359129994942,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T11:23:00,3947.0,2024-01-08T13:39:00,3940.0,1.0,7.0,0.177349885989359,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T14:29:00,3951.0,2024-01-08T14:45:00,3948.0,1.0,3.0,0.07593014426727411,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T21:18:00,3961.0,2024-01-08T21:29:00,3955.0,1.0,6.0,0.15147689977278464,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T21:32:00,3953.0,2024-01-08T21:49:00,3947.0,1.0,6.0,0.15178345560333922,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T09:05:00,3956.0,2024-01-09T09:13:00,3950.0,1.0,6.0,0.15166835187057634,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T09:40:00,3951.0,2024-01-09T10:06:00,3943.0,1.0,8.0,0.20248038471273097,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T10:52:00,3943.0,2024-01-09T11:02:00,3938.0,1.0,5.0,0.12680699974638598,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T13:53:00,3951.0,2024-01-09T14:07:00,3945.0,1.0,6.0,0.15186028853454822,BEAR_BREAKOUT,目标达成
SHORT,2024-01-09T21:04:00,3938.0,2024-01-09T22:52:00,3929.0,1.0,9.0,0.22854240731335704,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T09:02:00,3920.0,2024-01-10T09:27:00,3913.0,1.0,7.0,0.17857142857142858,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T10:55:00,3912.0,2024-01-10T11:13:00,3906.0,1.0,6.0,0.15337423312883436,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T11:17:00,3905.0,2024-01-10T13:47:00,3910.0,1.0,-5.0,-0.12804097311139565,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-10T14:29:00,3901.0,2024-01-10T14:41:00,3896.0,1.0,5.0,0.12817226352217378,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T14:42:00,3894.0,2024-01-10T15:00:00,3887.0,1.0,7.0,0.17976373908577298,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T22:04:00,3894.0,2024-01-10T22:13:00,3899.0,1.0,-5.0,-0.12840267077555212,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-11T09:13:00,3909.0,2024-01-11T10:34:00,3902.0,1.0,7.0,0.17907393195190585,BEAR_BREAKOUT,目标达成
SHORT,2024-01-11T21:33:00,3922.0,2024-01-11T22:07:00,3916.0,1.0,6.0,0.1529831718510964,BEAR_BREAKOUT,目标达成
SHORT,2024-01-11T22:43:00,3911.0,2024-01-11T22:51:00,3903.0,1.0,8.0,0.2045512656609563,BEAR_BREAKOUT,目标达成
SHORT,2024-01-11T22:52:00,3901.0,2024-01-11T22:56:00,3910.0,1.0,-9.0,-0.23071007433991286,BEAR_BREAKOUT,动态止损(0.22%)
SHORT,2024-01-12T10:04:00,3922.0,2024-01-12T13:41:00,3914.0,1.0,8.0,0.2039775624681285,BEAR_BREAKOUT,目标达成
SHORT,2024-01-12T15:00:00,3902.0,2024-01-12T21:12:00,3874.0,1.0,28.0,0.7175807278318811,BEAR_BREAKOUT,目标达成
SHORT,2024-01-12T21:14:00,3868.0,2024-01-12T21:36:00,3875.0,1.0,-7.0,-0.1809720785935884,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-12T21:51:00,3872.0,2024-01-12T22:04:00,3880.0,1.0,-8.0,-0.2066115702479339,BEAR_BREAKOUT,动态止损(0.16%)
SHORT,2024-01-12T22:59:00,3888.0,2024-01-15T09:01:00,3909.0,1.0,-21.0,-0.5401234567901234,BEAR_BREAKOUT,动态止损(0.35%)
SHORT,2024-01-15T09:19:00,3900.0,2024-01-15T10:53:00,3909.0,1.0,-9.0,-0.23076923076923078,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-15T14:00:00,3911.0,2024-01-15T14:12:00,3913.0,1.0,-2.0,-0.051137816415239075,BEAR_BREAKOUT,趋势反转确认
SHORT,2024-01-15T14:28:00,3911.0,2024-01-15T14:46:00,3904.0,1.0,7.0,0.17898235745333674,BEAR_BREAKOUT,目标达成
SHORT,2024-01-15T14:50:00,3904.0,2024-01-15T21:05:00,3884.0,1.0,20.0,0.5122950819672131,BEAR_BREAKOUT,目标达成
SHORT,2024-01-15T21:13:00,3892.0,2024-01-15T21:52:00,3900.0,1.0,-8.0,-0.20554984583761562,BEAR_BREAKOUT,动态止损(0.13%)
SHORT,2024-01-15T22:32:00,3901.0,2024-01-15T22:40:00,3894.0,1.0,7.0,0.17944116893104334,BEAR_BREAKOUT,目标达成
SHORT,2024-01-16T09:13:00,3889.0,2024-01-16T10:10:00,3899.0,1.0,-10.0,-0.2571355104139882,BEAR_BREAKOUT,动态止损(0.21%)
SHORT,2024-01-16T13:31:00,3877.0,2024-01-16T13:56:00,3868.0,1.0,9.0,0.2321382512251741,BEAR_BREAKOUT,目标达成
SHORT,2024-01-16T14:11:00,3870.0,2024-01-16T14:15:00,3877.0,1.0,-7.0,-0.1808785529715762,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-16T14:39:00,3866.0,2024-01-16T14:44:00,3875.0,1.0,-9.0,-0.23279875840662181,BEAR_BREAKOUT,动态止损(0.19%)
SHORT,2024-01-16T21:32:00,3915.0,2024-01-16T22:17:00,3910.0,1.0,5.0,0.1277139208173691,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T09:05:00,3908.0,2024-01-17T09:30:00,3914.0,1.0,-6.0,-0.15353121801432956,BEAR_BREAKOUT,动态止损(0.12%)
SHORT,2024-01-17T10:05:00,3900.0,2024-01-17T10:15:00,3893.0,1.0,7.0,0.1794871794871795,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T10:39:00,3890.0,2024-01-17T11:06:00,3881.0,1.0,9.0,0.23136246786632392,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T11:25:00,3882.0,2024-01-17T11:30:00,3890.0,1.0,-8.0,-0.20607934054611027,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-17T13:59:00,3883.0,2024-01-17T14:41:00,3872.0,1.0,11.0,0.28328611898017,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T14:50:00,3865.0,2024-01-17T21:04:00,3852.0,1.0,13.0,0.33635187580853815,BEAR_BREAKOUT,目标达成
SHORT,2024-01-17T21:18:00,3850.0,2024-01-17T21:42:00,3857.0,1.0,-7.0,-0.18181818181818182,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-18T09:29:00,3885.0,2024-01-18T10:06:00,3874.0,1.0,11.0,0.2831402831402831,BEAR_BREAKOUT,目标达成
SHORT,2024-01-18T10:39:00,3868.0,2024-01-18T11:21:00,3884.0,1.0,-16.0,-0.4136504653567736,BEAR_BREAKOUT,动态止损(0.25%)
SHORT,2024-01-18T14:22:00,3905.0,2024-01-18T14:34:00,3899.0,1.0,6.0,0.15364916773367476,BEAR_BREAKOUT,目标达成
SHORT,2024-01-18T21:18:00,3902.0,2024-01-18T21:50:00,3904.0,1.0,-2.0,-0.05125576627370579,BEAR_BREAKOUT,趋势反转确认
SHORT,2024-01-18T22:43:00,3902.0,2024-01-18T22:52:00,3897.0,1.0,5.0,0.12813941568426446,BEAR_BREAKOUT,目标达成
SHORT,2024-01-18T22:52:00,3897.0,2024-01-19T09:06:00,3908.0,1.0,-11.0,-0.2822684115986656,BEAR_BREAKOUT,动态止损(0.23%)
SHORT,2024-01-19T09:28:00,3897.0,2024-01-19T09:34:00,3904.0,1.0,-7.0,-0.1796253528355145,BEAR_BREAKOUT,动态止损(0.18%)
SHORT,2024-01-19T13:34:00,3909.0,2024-01-19T14:17:00,3916.0,1.0,-7.0,-0.17907393195190585,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-19T21:08:00,3906.0,2024-01-19T21:31:00,3913.0,1.0,-7.0,-0.17921146953405018,BEAR_BREAKOUT,动态止损(0.14%)
SHORT,2024-01-19T21:55:00,3911.0,2024-01-19T22:34:00,3907.0,1.0,4.0,0.10227563283047815,BEAR_BREAKOUT,目标达成
SHORT,2024-01-19T22:37:00,3905.0,2024-01-22T09:01:00,3898.0,1.0,7.0,0.1792573623559539,BEAR_BREAKOUT,目标达成
SHORT,2024-01-22T09:31:00,3918.0,2024-01-22T10:08:00,3909.0,1.0,9.0,0.22970903522205208,BEAR_BREAKOUT,目标达成
SHORT,2024-01-22T11:00:00,3917.0,2024-01-22T11:08:00,3924.0,1.0,-7.0,-0.17870819504723004,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-22T14:12:00,3909.0,2024-01-22T14:20:00,3901.0,1.0,8.0,0.20465592223074958,BEAR_BREAKOUT,目标达成
SHORT,2024-01-22T14:20:00,3901.0,2024-01-22T14:28:00,3893.0,1.0,8.0,0.20507562163547807,BEAR_BREAKOUT,移动止损(最高0.38%)
SHORT,2024-01-22T21:43:00,3906.0,2024-01-22T22:26:00,3912.0,1.0,-6.0,-0.15360983102918588,BEAR_BREAKOUT,动态止损(0.15%)
SHORT,2024-01-23T09:33:00,3926.0,2024-01-23T10:03:00,3933.0,1.0,-7.0,-0.1782985226693836,BEAR_BREAKOUT,动态止损(0.17%)
SHORT,2024-01-23T10:45:00,3928.0,2024-01-23T11:06:00,3922.0,1.0,6.0,0.15274949083503053,BEAR_BREAKOUT,目标达成
SHORT,2024-01-23T11:10:00,3921.0,2024-01-23T13:31:00,3929.0,1.0,-8.0,-0.204029584289722,BEAR_BREAKOUT,动态止损(0.18%)
