direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-02T09:38:00,4034.0,2024-01-02T10:14:00,4041.0,1.0,-7.0,-0.17352503718393653,BEAR_BREAKOUT,趋势反转
LONG,2024-01-02T10:31:00,4047.0,2024-01-02T10:35:00,4053.0,1.0,6.0,0.14825796886582654,BULL_BREAKOUT,目标达成
LONG,2024-01-02T21:42:00,4055.0,2024-01-02T21:52:00,4058.0,1.0,3.0,0.07398273736128237,BULL_BREAKOUT,目标达成
LONG,2024-01-03T09:22:00,4057.0,2024-01-03T09:34:00,4059.0,1.0,2.0,0.04929751047572097,BULL_BREAKOUT,目标达成
SHORT,2024-01-03T10:37:00,4057.0,2024-01-03T10:38:00,4057.0,1.0,-0.0,-0.0,BEAR_BREAKOUT,目标达成
LONG,2024-01-03T13:31:00,4054.0,2024-01-03T13:38:00,4052.0,1.0,-2.0,-0.049333991119881605,BULL_BREAKOUT,趋势反转
SHORT,2024-01-04T10:46:00,4038.0,2024-01-04T10:53:00,4033.0,1.0,5.0,0.12382367508667656,BEAR_BREAKOUT,目标达成
LONG,2024-01-04T11:21:00,4037.0,2024-01-04T11:28:00,4032.0,1.0,-5.0,-0.12385434728758979,BULL_BREAKOUT,趋势反转
SHORT,2024-01-04T11:28:00,4032.0,2024-01-04T13:33:00,4042.0,1.0,-10.0,-0.248015873015873,BEAR_BREAKOUT,止损触发
LONG,2024-01-04T13:33:00,4042.0,2024-01-04T14:01:00,4048.0,1.0,6.0,0.14844136566056407,BULL_BREAKOUT,目标达成
SHORT,2024-01-04T14:30:00,4050.0,2024-01-04T14:31:00,4049.0,1.0,1.0,0.02469135802469136,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T21:19:00,4043.0,2024-01-04T21:20:00,4039.0,1.0,4.0,0.09893643334157803,BEAR_BREAKOUT,目标达成
SHORT,2024-01-04T21:20:00,4039.0,2024-01-04T22:12:00,4035.0,1.0,4.0,0.09903441445902451,BEAR_BREAKOUT,目标达成
LONG,2024-01-04T22:37:00,4029.0,2024-01-04T22:59:00,4032.0,1.0,3.0,0.07446016381236038,BULL_BREAKOUT,目标达成
SHORT,2024-01-05T09:28:00,4013.0,2024-01-05T09:58:00,4010.0,1.0,3.0,0.074757039621231,BEAR_BREAKOUT,目标达成
SHORT,2024-01-05T10:32:00,4000.0,2024-01-05T10:49:00,4006.0,1.0,-6.0,-0.15,BEAR_BREAKOUT,趋势反转
LONG,2024-01-05T10:53:00,4013.0,2024-01-05T13:47:00,3993.0,1.0,-20.0,-0.49838026414153996,BULL_BREAKOUT,止损触发
SHORT,2024-01-05T14:19:00,3993.0,2024-01-05T14:24:00,3991.0,1.0,2.0,0.050087653393438514,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T14:30:00,3950.0,2024-01-08T14:36:00,3950.0,1.0,-0.0,-0.0,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T14:37:00,3948.0,2024-01-08T14:38:00,3946.0,1.0,2.0,0.050658561296859174,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T14:38:00,3946.0,2024-01-08T14:41:00,3944.0,1.0,2.0,0.05068423720223011,BEAR_BREAKOUT,目标达成
SHORT,2024-01-08T21:41:00,3947.0,2024-01-08T22:30:00,3950.0,1.0,-3.0,-0.07600709399543958,BEAR_BREAKOUT,趋势反转
LONG,2024-01-08T22:59:00,3959.0,2024-01-09T09:01:00,3961.0,1.0,2.0,0.050517807527153326,BULL_BREAKOUT,目标达成
SHORT,2024-01-09T09:53:00,3948.0,2024-01-09T10:06:00,3943.0,1.0,5.0,0.12664640324214793,BEAR_BREAKOUT,目标达成
LONG,2024-01-09T13:32:00,3950.0,2024-01-09T13:34:00,3953.0,1.0,3.0,0.0759493670886076,BULL_BREAKOUT,目标达成
LONG,2024-01-09T14:31:00,3944.0,2024-01-09T14:32:00,3945.0,1.0,1.0,0.02535496957403651,BULL_BREAKOUT,目标达成
SHORT,2024-01-09T21:25:00,3933.0,2024-01-09T21:34:00,3933.0,1.0,-0.0,-0.0,BEAR_BREAKOUT,目标达成
LONG,2024-01-09T22:25:00,3938.0,2024-01-09T22:30:00,3935.0,1.0,-3.0,-0.07618080243778569,BULL_BREAKOUT,趋势反转
SHORT,2024-01-09T22:31:00,3932.0,2024-01-09T22:33:00,3931.0,1.0,1.0,0.025432349949135298,BEAR_BREAKOUT,目标达成
SHORT,2024-01-10T09:02:00,3920.0,2024-01-10T09:15:00,3921.0,1.0,-1.0,-0.025510204081632654,BEAR_BREAKOUT,目标达成
LONG,2024-01-10T09:58:00,3923.0,2024-01-10T10:08:00,3928.0,1.0,5.0,0.1274534794799898,BULL_BREAKOUT,目标达成
SHORT,2024-01-11T09:14:00,3907.0,2024-01-11T09:16:00,3907.0,1.0,-0.0,-0.0,BEAR_BREAKOUT,目标达成
LONG,2024-01-11T09:50:00,3911.0,2024-01-11T09:55:00,3906.0,1.0,-5.0,-0.12784454103809767,BULL_BREAKOUT,止损触发
SHORT,2024-01-11T10:10:00,3904.0,2024-01-11T10:11:00,3901.0,1.0,3.0,0.07684426229508197,BEAR_BREAKOUT,目标达成
SHORT,2024-01-11T10:11:00,3901.0,2024-01-11T10:43:00,3909.0,1.0,-8.0,-0.20507562163547807,BEAR_BREAKOUT,止损触发
LONG,2024-01-11T10:54:00,3912.0,2024-01-11T11:13:00,3913.0,1.0,1.0,0.025562372188139063,BULL_BREAKOUT,目标达成
LONG,2024-01-11T11:23:00,3922.0,2024-01-11T13:31:00,3928.0,1.0,6.0,0.1529831718510964,BULL_BREAKOUT,目标达成
SHORT,2024-01-12T10:48:00,3920.0,2024-01-12T10:54:00,3927.0,1.0,-7.0,-0.17857142857142858,BEAR_BREAKOUT,止损触发
LONG,2024-01-12T14:06:00,3915.0,2024-01-12T14:56:00,3907.0,1.0,-8.0,-0.20434227330779056,BULL_BREAKOUT,止损触发
SHORT,2024-01-12T15:00:00,3902.0,2024-01-12T21:01:00,3893.0,1.0,9.0,0.23065094823167606,BEAR_BREAKOUT,目标达成
SHORT,2024-01-12T21:01:00,3893.0,2024-01-12T21:06:00,3872.0,1.0,21.0,0.5394297456974056,BEAR_BREAKOUT,目标达成
SHORT,2024-01-12T21:14:00,3868.0,2024-01-15T09:01:00,3909.0,1.0,-41.0,-1.0599793174767322,BEAR_BREAKOUT,止损触发
LONG,2024-01-15T09:08:00,3911.0,2024-01-15T09:12:00,3905.0,1.0,-6.0,-0.1534134492457172,BULL_BREAKOUT,趋势反转
SHORT,2024-01-15T09:12:00,3905.0,2024-01-15T09:17:00,3902.0,1.0,3.0,0.07682458386683738,BEAR_BREAKOUT,目标达成
SHORT,2024-01-15T09:19:00,3900.0,2024-01-15T09:21:00,3898.0,1.0,2.0,0.05128205128205128,BEAR_BREAKOUT,目标达成
SHORT,2024-01-15T09:21:00,3898.0,2024-01-15T09:24:00,3898.0,1.0,-0.0,-0.0,BEAR_BREAKOUT,目标达成
LONG,2024-01-15T09:39:00,3900.0,2024-01-15T09:44:00,3896.0,1.0,-4.0,-0.10256410256410256,BULL_BREAKOUT,趋势反转
SHORT,2024-01-15T10:31:00,3896.0,2024-01-15T10:46:00,3903.0,1.0,-7.0,-0.17967145790554415,BEAR_BREAKOUT,趋势反转
LONG,2024-01-15T10:58:00,3917.0,2024-01-15T14:00:00,3911.0,1.0,-6.0,-0.15317845289762574,BULL_BREAKOUT,趋势反转
