direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-12T21:06:00,3872.0,2024-01-15T09:08:00,3911.0,1.0,-39.0,-1.0072314049586777,L2,Always In Long
SHORT,2024-01-31T21:01:00,3870.0,2024-01-31T22:17:00,3876.0,1.0,-6.0,-0.15503875968992248,L2,Always In Long
SHORT,2024-02-02T10:39:00,3834.0,2024-02-02T10:47:00,3834.0,1.0,-0.0,-0.0,L2,Always In Long
SHORT,2024-02-02T10:47:00,3834.0,2024-02-02T11:16:00,3828.0,1.0,6.0,0.1564945226917058,L2,Always In Long
SHORT,2024-02-02T13:48:00,3807.0,2024-02-02T14:29:00,3826.0,1.0,-19.0,-0.4990806409246125,L2,Always In Long
SHORT,2024-02-06T14:26:00,3813.0,2024-02-06T14:37:00,3810.0,1.0,3.0,0.07867820613690008,L2,Always In Long
SHORT,2024-02-20T09:39:00,3795.0,2024-02-20T09:48:00,3801.0,1.0,-6.0,-0.15810276679841898,L2,Always In Long
SHORT,2024-02-21T14:51:00,3785.0,2024-02-21T14:55:00,3791.0,1.0,-6.0,-0.15852047556142668,L2,Always In Long
SHORT,2024-02-22T14:05:00,3770.0,2024-02-22T14:24:00,3792.0,1.0,-22.0,-0.583554376657825,L2,Always In Long
SHORT,2024-02-26T09:09:00,3749.0,2024-02-26T09:26:00,3765.0,1.0,-16.0,-0.4267804747932782,L2,Always In Long
SHORT,2024-03-01T14:46:00,3765.0,2024-03-01T21:08:00,3760.0,1.0,5.0,0.13280212483399734,L2,Always In Long
SHORT,2024-03-07T14:54:00,3699.0,2024-03-07T14:58:00,3706.0,1.0,-7.0,-0.1892403352257367,L2,Always In Long
SHORT,2024-03-15T21:24:00,3456.0,2024-03-15T21:49:00,3437.0,1.0,19.0,0.5497685185185185,L2,Always In Long
SHORT,2024-03-20T21:07:00,3559.0,2024-03-20T21:20:00,3558.0,1.0,1.0,0.02809778027535825,L2,Always In Long
SHORT,2024-03-25T09:19:00,3580.0,2024-03-25T10:12:00,3588.0,1.0,-8.0,-0.22346368715083798,L2,Always In Long
SHORT,2024-03-26T10:04:00,3562.0,2024-03-26T11:12:00,3539.0,1.0,23.0,0.6457046603032005,L2,Always In Long
SHORT,2024-03-26T21:05:00,3482.0,2024-03-26T21:15:00,3494.0,1.0,-12.0,-0.34462952326249285,L2,Always In Long
SHORT,2024-03-27T21:01:00,3462.0,2024-03-27T21:10:00,3470.0,1.0,-8.0,-0.2310803004043905,L2,Always In Long
SHORT,2024-03-28T13:40:00,3471.0,2024-03-28T13:48:00,3472.0,1.0,-1.0,-0.02881014116969173,L2,Always In Long
SHORT,2024-03-28T13:48:00,3472.0,2024-03-28T13:59:00,3472.0,1.0,-0.0,-0.0,L2,Always In Long
SHORT,2024-04-01T09:08:00,3390.0,2024-04-01T09:41:00,3377.0,1.0,13.0,0.38348082595870203,L2,Always In Long
SHORT,2024-04-09T21:14:00,3594.0,2024-04-09T21:49:00,3591.0,1.0,3.0,0.08347245409015025,L2,Always In Long
SHORT,2024-04-25T11:22:00,3671.0,2024-04-25T13:33:00,3685.0,1.0,-14.0,-0.3813674748025061,L2,Always In Long
SHORT,2024-04-26T22:42:00,3658.0,2024-04-26T22:45:00,3660.0,1.0,-2.0,-0.054674685620557675,L2,Always In Long
SHORT,2024-05-29T21:48:00,3793.0,2024-05-29T22:00:00,3803.0,1.0,-10.0,-0.2636435539151068,L2,Always In Long
SHORT,2024-05-30T10:49:00,3773.0,2024-05-30T13:46:00,3744.0,1.0,29.0,0.7686191359660748,L2,Always In Long
