direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
LONG,2024-01-16T14:57:00,3892.0,2024-01-16T14:58:00,3896.0,1.0,4.0,0.10277492291880781,MEASURED_MOVE,测量移动目标达成
LONG,2024-01-16T14:58:00,3896.0,2024-01-16T14:59:00,3894.0,1.0,-2.0,-0.051334702258726904,MEASURED_MOVE,测量移动目标达成
LONG,2024-01-16T15:00:00,3899.0,2024-01-16T21:01:00,3916.0,1.0,17.0,0.43600923313670176,MEASURED_MOVE,测量移动目标达成
LONG,2024-01-16T21:01:00,3916.0,2024-01-16T21:02:00,3915.0,1.0,-1.0,-0.02553626149131767,MEASURED_MOVE,测量移动目标达成
LONG,2024-01-16T21:03:00,3916.0,2024-01-16T21:04:00,3913.0,1.0,-3.0,-0.07660878447395301,MEASURED_MOVE,测量移动目标达成
LONG,2024-01-16T21:05:00,3915.0,2024-01-16T21:06:00,3913.0,1.0,-2.0,-0.05108556832694764,MEASURED_MOVE,测量移动目标达成
LONG,2024-01-16T21:09:00,3912.0,2024-01-16T21:10:00,3915.0,1.0,3.0,0.07668711656441718,MEASURED_MOVE,测量移动目标达成
SHORT,2024-02-20T09:39:00,3795.0,2024-02-20T09:41:00,3801.0,1.0,-6.0,-0.15810276679841898,MEASURED_MOVE,止损触发
LONG,2024-02-21T11:12:00,3825.0,2024-02-21T11:13:00,3817.0,1.0,-8.0,-0.20915032679738566,MEASURED_MOVE,测量移动目标达成
LONG,2024-02-21T11:16:00,3813.0,2024-02-21T11:17:00,3815.0,1.0,2.0,0.05245213742460005,MEASURED_MOVE,测量移动目标达成
SHORT,2024-02-22T14:05:00,3770.0,2024-02-22T14:10:00,3777.0,1.0,-7.0,-0.1856763925729443,MEASURED_MOVE,止损触发
SHORT,2024-02-26T09:09:00,3749.0,2024-02-26T09:10:00,3750.0,1.0,-1.0,-0.026673779674579887,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-15T21:24:00,3456.0,2024-03-15T21:25:00,3459.0,1.0,-3.0,-0.08680555555555555,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-15T21:31:00,3458.0,2024-03-15T21:32:00,3455.0,1.0,3.0,0.08675534991324466,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-15T21:32:00,3455.0,2024-03-15T21:33:00,3456.0,1.0,-1.0,-0.02894356005788712,MEASURED_MOVE,测量移动目标达成
LONG,2024-03-15T23:00:00,3494.0,2024-03-18T09:01:00,3479.0,1.0,-15.0,-0.42930738408700636,MEASURED_MOVE,测量移动目标达成
LONG,2024-03-18T09:06:00,3484.0,2024-03-18T09:07:00,3483.0,1.0,-1.0,-0.02870264064293915,MEASURED_MOVE,测量移动目标达成
LONG,2024-03-18T09:08:00,3486.0,2024-03-18T09:09:00,3488.0,1.0,2.0,0.05737234652897303,MEASURED_MOVE,测量移动目标达成
LONG,2024-03-18T09:09:00,3488.0,2024-03-18T09:10:00,3481.0,1.0,-7.0,-0.20068807339449543,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-20T21:10:00,3553.0,2024-03-20T21:30:00,3562.0,1.0,-9.0,-0.2533070644525753,MEASURED_MOVE,止损触发
SHORT,2024-03-26T10:05:00,3558.0,2024-03-26T10:06:00,3560.0,1.0,-2.0,-0.056211354693648116,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-28T13:40:00,3471.0,2024-03-28T13:41:00,3471.0,1.0,-0.0,-0.0,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-28T13:43:00,3467.0,2024-03-28T13:44:00,3470.0,1.0,-3.0,-0.08653014133256418,MEASURED_MOVE,测量移动目标达成
SHORT,2024-03-28T13:46:00,3467.0,2024-03-28T13:47:00,3469.0,1.0,-2.0,-0.05768676088837611,MEASURED_MOVE,测量移动目标达成
SHORT,2024-04-01T09:10:00,3383.0,2024-04-01T10:12:00,3399.0,1.0,-16.0,-0.47295300029559567,MEASURED_MOVE,止损触发
LONG,2024-04-01T14:01:00,3412.0,2024-04-01T14:02:00,3416.0,1.0,4.0,0.11723329425556857,MEASURED_MOVE,测量移动目标达成
LONG,2024-04-01T14:02:00,3416.0,2024-04-01T14:03:00,3410.0,1.0,-6.0,-0.1756440281030445,MEASURED_MOVE,测量移动目标达成
LONG,2024-04-01T21:10:00,3468.0,2024-04-01T21:11:00,3464.0,1.0,-4.0,-0.11534025374855825,MEASURED_MOVE,测量移动目标达成
LONG,2024-04-01T21:12:00,3466.0,2024-04-01T21:13:00,3469.0,1.0,3.0,0.08655510675129832,MEASURED_MOVE,测量移动目标达成
LONG,2024-04-01T21:13:00,3469.0,2024-04-01T21:14:00,3467.0,1.0,-2.0,-0.057653502450273855,MEASURED_MOVE,测量移动目标达成
LONG,2024-04-02T21:07:00,3518.0,2024-04-02T21:08:00,3518.0,1.0,0.0,0.0,MEASURED_MOVE,测量移动目标达成
LONG,2024-04-02T21:09:00,3519.0,2024-04-02T21:10:00,3519.0,1.0,0.0,0.0,MEASURED_MOVE,测量移动目标达成
SHORT,2024-04-25T11:22:00,3671.0,2024-04-25T11:23:00,3673.0,1.0,-2.0,-0.05448106782892945,MEASURED_MOVE,测量移动目标达成
LONG,2024-05-16T22:47:00,3720.0,2024-05-16T22:48:00,3716.0,1.0,-4.0,-0.10752688172043011,MEASURED_MOVE,测量移动目标达成
LONG,2024-05-21T22:18:00,3785.0,2024-05-21T22:19:00,3783.0,1.0,-2.0,-0.05284015852047556,MEASURED_MOVE,测量移动目标达成
SHORT,2024-05-30T10:49:00,3773.0,2024-05-30T10:50:00,3771.0,1.0,2.0,0.05300821627352239,MEASURED_MOVE,测量移动目标达成
SHORT,2024-05-30T10:51:00,3764.0,2024-05-30T10:52:00,3763.0,1.0,1.0,0.026567481402763018,MEASURED_MOVE,测量移动目标达成
