direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-02T09:38:00,4034.0,2024-01-02T09:41:00,4037.0,1.0,-3.0,-0.07436787307882994,BEAR_BREAKOUT,微型通道被打破
SHORT,2024-01-02T09:53:00,4033.0,2024-01-02T09:55:00,4039.0,1.0,-6.0,-0.14877262583684603,BEAR_BREAKOUT,微型通道被打破
LONG,2024-01-02T10:14:00,4041.0,2024-01-02T10:31:00,4047.0,1.0,6.0,0.14847809948032664,BULL_BREAKOUT,目标达成
LONG,2024-01-02T10:31:00,4047.0,2024-01-02T10:41:00,4054.0,1.0,7.0,0.1729676303434643,BULL_BREAKOUT,微型通道被打破
SHORT,2024-01-02T10:51:00,4050.0,2024-01-02T10:59:00,4050.0,1.0,-0.0,-0.0,BEAR_BREAKOUT,微型通道被打破
SHORT,2024-01-02T11:23:00,4048.0,2024-01-02T11:24:00,4051.0,1.0,-3.0,-0.07411067193675888,BEAR_BREAKOUT,微型通道被打破
SHORT,2024-01-02T13:54:00,4047.0,2024-01-02T13:57:00,4049.0,1.0,-2.0,-0.04941932295527551,BEAR_BREAKOUT,微型通道被打破
LONG,2024-01-02T13:59:00,4050.0,2024-01-02T14:02:00,4049.0,1.0,-1.0,-0.02469135802469136,BULL_BREAKOUT,微型通道被打破
LONG,2024-01-02T14:09:00,4050.0,2024-01-02T14:16:00,4043.0,1.0,-7.0,-0.17283950617283952,BULL_BREAKOUT,止损触发
SHORT,2024-01-02T14:18:00,4044.0,2024-01-02T14:23:00,4042.0,1.0,2.0,0.04945598417408506,BEAR_BREAKOUT,微型通道被打破
LONG,2024-01-02T14:28:00,4045.0,2024-01-02T14:34:00,4043.0,1.0,-2.0,-0.04944375772558715,BULL_BREAKOUT,微型通道被打破
LONG,2024-01-02T14:45:00,4048.0,2024-01-02T14:48:00,4045.0,1.0,-3.0,-0.07411067193675888,BULL_BREAKOUT,微型通道被打破
SHORT,2024-01-02T14:50:00,4046.0,2024-01-02T14:52:00,4042.0,1.0,4.0,0.09886307464162135,BEAR_BREAKOUT,目标达成
